node_id,latitude,longitude,elevation,street_count,highway,ref
353495410,-20.1626008,-44.8359639,,3,,
353495738,-20.1782847,-44.9487054,,3,,
353500756,-20.2076559,-44.9198797,,3,,
1344107585,-20.1872103,-44.9794401,,4,,
1344107637,-20.1619581,-44.921215,,3,,
1344107649,-20.2013755,-44.9203538,,3,,
1344107676,-20.1689948,-44.9401984,,3,,
1344107775,-20.1114786,-44.8712085,,3,,
1344107787,-20.1158063,-44.8598156,,3,,
1344107789,-20.1195183,-44.9107378,,3,,
1344107814,-20.1675603,-44.8242487,,4,,
1344107821,-20.2081917,-44.9505705,,3,,
1344107828,-20.2061833,-44.9497059,,3,,
1344107850,-20.1150321,-44.8843733,,3,,
1344107865,-20.1814315,-44.7956012,,3,,
1344107901,-20.1187149,-44.8589857,,3,,
1344107912,-20.117283,-44.8584585,,4,,
1434986363,-20.1357224,-44.8443931,,4,,
1434986786,-20.1593073,-44.9142344,,3,,
1434986792,-20.1571813,-44.9109337,,3,,
1434987102,-20.1606921,-44.9168837,,3,,
1434987103,-20.1576018,-44.9147815,,3,,
1434988114,-20.1657427,-44.9100912,,4,,
1434988115,-20.1707674,-44.913497,,3,,
1434988116,-20.1695044,-44.9107388,,3,,
1434988123,-20.166438,-44.9134381,,3,,
1434988125,-20.1620973,-44.9155925,,4,,
1434988127,-20.1667398,-44.9097417,,3,,
1434988134,-20.1694467,-44.9097664,,3,,
1434988137,-20.1711182,-44.9075378,,3,,
1434988141,-20.1495525,-44.9024499,,4,,
1434988143,-20.1600112,-44.9110342,,4,,
1434988147,-20.1761284,-44.920562,,3,,
1434988152,-20.1678152,-44.9082823,,3,,
1434988161,-20.1692681,-44.9102911,,4,,
1434988172,-20.1564865,-44.9074737,,3,,
1434988174,-20.1584587,-44.9089326,,4,,
1434988175,-20.1635773,-44.9056996,,4,,
1434988183,-20.1665887,-44.9048287,,3,,
1434988186,-20.1597564,-44.9101799,,1,,
1434990481,-20.155966,-44.8602182,,4,,
1434990485,-20.1577241,-44.8534242,,3,,
1434990486,-20.160262,-44.8452093,,3,,
1434990490,-20.1604805,-44.8441488,,3,,
1434990491,-20.158069,-44.8545846,,3,,
